Time,normalized,interpolated,MGCplus_1,result,ModifiedMGCplus_1
0.0,-0.0112112639088729,-0.00899,-0.010620000000000001,-1,
0.005,-0.0112112639088729,-0.00899,-0.01026,-1,
0.01,-0.0112112639088729,-0.00899,-0.01004,-1,
0.015,-0.0112112639088729,-0.00899,-0.009940000000000001,-1,
0.02,-0.0112112639088729,-0.00899,-0.009729999999999999,-1,
0.025,-0.0112112639088729,-0.00899,-0.00899,1,-0.00899
0.03,-0.010601263908872902,-0.00838,-0.00838,1,-0.00838
0.035,-0.0102812639088729,-0.00806,-0.00806,1,-0.00806
0.04,-0.009961263908872902,-0.00774,-0.00774,1,-0.00774
0.045,-0.009571263908872902,-0.00735,-0.00735,1,-0.00735
0.05,-0.009111263908872902,-0.00689,-0.00689,1,-0.00689
0.055,-0.008781263908872902,-0.00656,-0.00656,1,-0.00656
0.06,-0.0086312639088729,-0.006409999999999999,-0.006409999999999999,1,-0.006409999999999999
0.065,-0.008451263908872901,-0.006229999999999999,-0.006229999999999999,1,-0.006229999999999999
0.07,-0.008261263908872902,-0.00604,-0.00604,1,-0.00604
0.075,-0.007721263908872901,-0.0055,-0.0055,1,-0.0055
0.08,-0.007641263908872903,-0.00542,-0.00542,1,-0.00542
0.085,-0.007981263908872903,-0.00576,-0.00576,1,-0.00576
0.09,-0.008081263908872902,-0.00586,-0.00586,1,-0.00586
0.095,-0.007951263908872902,-0.00573,-0.00573,1,-0.00573
0.1,-0.007881263908872902,-0.00566,-0.00566,1,-0.00566
0.105,-0.007951263908872902,-0.00573,-0.00573,1,-0.00573
0.11,-0.008041263908872902,-0.0058200000000000005,-0.0058200000000000005,1,-0.0058200000000000005
0.115,-0.007881263908872902,-0.00566,-0.00566,1,-0.00566
0.12,-0.007691263908872902,-0.00547,-0.00547,1,-0.00547
0.125,-0.007691263908872902,-0.00547,-0.00547,1,-0.00547
0.13,-0.007721263908872901,-0.0055,-0.0055,1,-0.0055
0.135,-0.007401263908872901,-0.00518,-0.00518,1,-0.00518
0.14,-0.007191263908872901,-0.0049700000000000005,-0.0049700000000000005,1,-0.0049700000000000005
0.145,-0.007191263908872901,-0.0049700000000000005,-0.0049700000000000005,1,-0.0049700000000000005
0.15,-0.007071263908872902,-0.00485,-0.00485,1,-0.00485
0.155,-0.007201263908872902,-0.00498,-0.00498,1,-0.00498
0.16,-0.007581263908872902,-0.00536,-0.00536,1,-0.00536
0.165,-0.007491263908872901,-0.00527,-0.00527,1,-0.00527
0.17,-0.0070512639088729035,-0.00483,-0.00483,1,-0.00483
0.175,-0.0065412639088729034,-0.00432,-0.00432,1,-0.00432
0.18,-0.006321263908872903,-0.0041,-0.0041,1,-0.0041
0.185,-0.006281263908872903,-0.00406,-0.00406,1,-0.00406
0.19,-0.006021263908872902,-0.0038,-0.0038,1,-0.0038
0.195,-0.005571263908872902,-0.00335,-0.00335,1,-0.00335
0.2,-0.005401263908872902,-0.00318,-0.00318,1,-0.00318
0.205,-0.005451263908872903,-0.00323,-0.00323,1,-0.00323
0.21,-0.005381263908872902,-0.00316,-0.00316,1,-0.00316
0.215,-0.005021263908872902,-0.0028,-0.0028,1,-0.0028
0.22,-0.005071263908872903,-0.00285,-0.00285,1,-0.00285
0.225,-0.005481263908872902,-0.0032600000000000003,-0.0032600000000000003,1,-0.0032600000000000003
0.23,-0.005791263908872903,-0.0035700000000000007,-0.0035700000000000007,1,-0.0035700000000000007
0.235,-0.006021263908872902,-0.0038,-0.0038,1,-0.0038
0.24,-0.0061812639088729025,-0.00396,-0.00396,1,-0.00396
0.245,-0.006051263908872903,-0.00383,-0.0038299999999999996,1,-0.00383
0.25,-0.005991263908872902,-0.00377,-0.0037700000000000003,1,-0.00377
0.255,-0.0059012639088729035,-0.00368,-0.0036799999999999997,1,-0.00368
0.26,-0.006031263908872903,-0.00381,-0.00381,1,-0.00381
0.265,-0.006331263908872903,-0.00411,-0.00411,1,-0.00411
0.27,-0.006471263908872902,-0.00425,-0.00425,1,-0.00425
0.275,-0.006751263908872901,-0.004529999999999999,-0.004529999999999999,1,-0.004529999999999999
0.28,-0.006731263908872903,-0.00451,-0.00451,1,-0.00451
0.285,-0.0068212639088729024,-0.0046,-0.0046,1,-0.0046
0.29,-0.006901263908872903,-0.00468,-0.00468,1,-0.00468
0.295,-0.006801263908872902,-0.00458,-0.00458,1,-0.00458
0.3,-0.006641263908872902,-0.00442,-0.00442,1,-0.00442
0.305,-0.006451263908872901,-0.004229999999999999,-0.004229999999999999,1,-0.004229999999999999
0.31,-0.0064112639088729035,-0.00419,-0.00419,1,-0.00419
0.315,-0.006231263908872903,-0.0040100000000000005,-0.0040100000000000005,1,-0.0040100000000000005
0.32,-0.006281263908872903,-0.00406,-0.00406,1,-0.00406
0.325,-0.006311263908872902,-0.00409,-0.00409,1,-0.00409
0.33,-0.006251263908872902,-0.00403,-0.00403,1,-0.00403
0.335,-0.006031263908872903,-0.00381,-0.00381,1,-0.00381
0.34,-0.005641263908872903,-0.0034200000000000003,-0.0034200000000000003,1,-0.0034200000000000003
0.345,-0.005621263908872903,-0.0034,-0.0034,1,-0.0034
0.35,-0.005551263908872902,-0.00333,-0.0033299999999999996,1,-0.00333
0.355,-0.005681263908872902,-0.00346,-0.00346,1,-0.00346
0.36,-0.005831263908872902,-0.00361,-0.00361,1,-0.00361
0.365,-0.005941263908872903,-0.00372,-0.00372,1,-0.00372
0.37,-0.0062412639088729035,-0.00402,-0.00402,1,-0.00402
0.375,-0.006341263908872902,-0.00412,-0.00412,1,-0.00412
0.38,-0.006331263908872903,-0.00411,-0.00411,1,-0.00411
0.385,-0.006331263908872903,-0.00411,-0.00411,1,-0.00411
0.39,-0.006371263908872903,-0.00415,-0.00415,1,-0.00415
0.395,-0.006111263908872903,-0.00389,-0.00389,1,-0.00389
0.4,-0.005991263908872902,-0.00377,-0.0037700000000000003,1,-0.00377
0.405,-0.0056712639088729025,-0.00345,-0.00345,1,-0.00345
0.41,-0.005281263908872903,-0.00306,-0.0030600000000000002,1,-0.00306
0.415,-0.004971263908872902,-0.00275,-0.00275,1,-0.00275
0.42,-0.004851263908872902,-0.00263,-0.00263,1,-0.00263
0.425,-0.004811263908872902,-0.00259,-0.00259,1,-0.00259
0.43,-0.004531263908872902,-0.00231,-0.00231,1,-0.00231
0.435,-0.004391263908872903,-0.00217,-0.00217,1,-0.00217
0.44,-0.004201263908872903,-0.00198,-0.00198,1,-0.00198
0.445,-0.004091263908872903,-0.00187,-0.00187,1,-0.00187
0.45,-0.0038912639088729026,-0.0016699999999999998,-0.0016699999999999998,1,-0.0016699999999999998
0.455,-0.0036112639088729023,-0.00139,-0.00139,1,-0.00139
0.46,-0.0034412639088729022,-0.00122,-0.00122,1,-0.00122
0.465,-0.003391263908872902,-0.00117,-0.00117,1,-0.00117
0.47,-0.003341263908872902,-0.00112,-0.00112,1,-0.00112
0.475,-0.003211263908872902,-0.00099,-0.00099,1,-0.00099
0.48,-0.002871263908872902,-0.00065,-0.00065,1,-0.00065
0.485,-0.0024412639088729022,-0.00022,-0.00022,1,-0.00022
0.49,-0.002351263908872902,-0.00013000000000000002,-0.00013000000000000002,1,-0.00013000000000000002
0.495,-0.002671263908872902,-0.00045,-0.00045,1,-0.00045
0.5,-0.002871263908872902,-0.00065,-0.00065,1,-0.00065
0.505,-0.0027612639088729018,-0.00054,-0.00054,1,-0.00054
0.51,-0.0026212639088729023,-0.0004,-0.0004,1,-0.0004
0.515,-0.002651263908872902,-0.00043,-0.00043,1,-0.00043
0.52,-0.002531263908872902,-0.00031,-0.00031,1,-0.00031
0.525,-0.002491263908872902,-0.00027,-0.00027,1,-0.00027
0.53,-0.0024412639088729022,-0.00022,-0.00022,1,-0.00022
0.535,-0.002661263908872902,-0.00044,-0.00044,1,-0.00044
0.54,-0.0029212639088729018,-0.0007,-0.0007,1,-0.0007
0.545,-0.003011263908872902,-0.00079,-0.00079,1,-0.00079
0.55,-0.003051263908872902,-0.0008300000000000001,-0.0008300000000000001,1,-0.0008300000000000001
0.555,-0.003001263908872902,-0.00078,-0.00078,1,-0.00078
0.56,-0.0027812639088729023,-0.00056,-0.00056,1,-0.00056
0.565,-0.002691263908872902,-0.00047,-0.00047000000000000004,1,-0.00047
0.57,-0.0024312639088729018,-0.00021,-0.00021,1,-0.00021
0.575,-0.0021012639088729018,0.00012,0.00011999999999999999,1,0.00012
0.58,-0.0017312639088729019,0.00049,0.00049,1,0.00049
0.585,-0.001301263908872902,0.00092,0.0009199999999999999,1,0.00092
0.59,-0.000941263908872902,0.00128,0.00128,1,0.00128
0.595,-0.000991263908872902,0.00123,0.00123,1,0.00123
0.6,-0.001251263908872902,0.00097,0.0009699999999999999,1,0.00097
0.605,-0.0011812639088729024,0.00104,0.0010400000000000001,1,0.00104
0.61,-0.0011812639088729024,0.00104,0.0010400000000000001,1,0.00104
0.615,-0.0011812639088729024,0.00104,0.0010400000000000001,1,0.00104
0.62,-0.0007912639088729019,0.00143,0.00143,1,0.00143
0.625,-0.00035126390887290217,0.00187,0.00187,1,0.00187
0.63,-0.00018126390887290196,0.00204,0.0020399999999999997,1,0.00204
0.635,-7.126390887290208e-05,0.00215,0.00215,1,0.00215
0.64,-3.1263908872901976e-05,0.00219,0.0021899999999999997,1,0.00219
0.645,-0.0004212639088729021,0.0018,0.0018,1,0.0018
0.65,-0.0006812639088729023,0.00154,0.0015400000000000001,1,0.00154
0.655,-0.000621263908872902,0.0016,0.0016,1,0.0016
0.66,-0.0007712639088729023,0.00145,0.00145,1,0.00145
0.665,-0.0007412639088729021,0.00148,0.00148,1,0.00148
0.67,-0.000861263908872902,0.00136,0.0013599999999999999,1,0.00136
0.675,-0.001051263908872902,0.00117,0.00117,1,0.00117
0.68,-0.001121263908872902,0.0011,0.0011,1,0.0011
0.685,-0.001301263908872902,0.00092,0.0009199999999999999,1,0.00092
0.69,-0.0013912639088729019,0.0008300000000000001,0.0008300000000000001,1,0.0008300000000000001
0.695,-0.0014812639088729019,0.00074,0.00074,1,0.00074
0.7,-0.001301263908872902,0.00092,0.0009199999999999999,1,0.00092
0.705,-0.0014712639088729019,0.00075,0.00075,1,0.00075
0.71,-0.001491263908872902,0.00073,0.00073,1,0.00073
0.715,-0.0012212639088729018,0.001,0.001,1,0.001
0.72,-0.001341263908872902,0.00088,0.00088,1,0.00088
0.725,-0.0016412639088729019,0.00058,0.00058,1,0.00058
0.73,-0.001581263908872902,0.00064,0.00064,1,0.00064
0.735,-0.001681263908872902,0.00054,0.00054,1,0.00054
0.74,-0.001781263908872902,0.00044,0.00044,1,0.00044
0.745,-0.001781263908872902,0.00044,0.00044,1,0.00044
0.75,-0.0021212639088729023,0.0001,0.0001,1,0.0001
0.755,-0.002521263908872902,-0.0003,-0.0003,1,-0.0003
0.76,-0.002641263908872902,-0.00042,-0.00042,1,-0.00042
0.765,-0.002891263908872902,-0.00067,-0.00067,1,-0.00067
0.77,-0.0035412639088729025,-0.00132,-0.00132,1,-0.00132
0.775,-0.004131263908872903,-0.00191,-0.0019100000000000002,1,-0.00191
0.78,-0.004701263908872902,-0.00248,-0.00248,1,-0.00248
0.785,-0.0050912639088729035,-0.00287,-0.0028699999999999997,1,-0.00287
0.79,-0.005801263908872902,-0.00358,-0.00358,1,-0.00358
0.795,-0.0062712639088729006,-0.00405,-0.00405,1,-0.00405
0.8,-0.006461263908872902,-0.00424,-0.00424,1,-0.00424
0.805,-0.0068612639088729025,-0.00464,-0.00464,1,-0.00464
0.81,-0.007681263908872901,-0.00546,-0.0054600000000000004,1,-0.00546
0.815,-0.008341263908872902,-0.00612,-0.0061200000000000004,1,-0.00612
0.82,-0.008461263908872902,-0.00624,-0.00624,1,-0.00624
0.825,-0.008411263908872903,-0.00619,-0.00619,1,-0.00619
0.83,-0.008821263908872902,-0.0066,-0.0066,1,-0.0066
0.835,-0.0091712639088729,-0.00695,-0.00695,1,-0.00695
0.84,-0.009281263908872902,-0.00706,-0.0070599999999999994,1,-0.00706
0.845,-0.009391263908872904,-0.00717,-0.00717,1,-0.00717
0.85,-0.009561263908872904,-0.00734,-0.00734,1,-0.00734
0.855,-0.009611263908872904,-0.007390000000000002,-0.007390000000000002,1,-0.007390000000000002
0.86,-0.0093312639088729,-0.007109999999999998,-0.007109999999999998,1,-0.007109999999999998
0.865,-0.009031263908872902,-0.006809999999999999,-0.006809999999999999,1,-0.006809999999999999
0.87,-0.008731263908872902,-0.006509999999999999,-0.006509999999999999,1,-0.006509999999999999
0.875,-0.008451263908872901,-0.006229999999999999,-0.006229999999999999,1,-0.006229999999999999
0.88,-0.008341263908872902,-0.00612,-0.0061200000000000004,1,-0.00612
0.885,-0.0083312639088729,-0.00611,-0.00611,1,-0.00611
0.89,-0.008281263908872903,-0.00606,-0.00606,1,-0.00606
0.895,-0.008581263908872903,-0.00636,-0.00636,1,-0.00636
0.9,-0.009121263908872902,-0.0069,-0.0069,1,-0.0069
0.905,-0.0096812639088729,-0.00746,-0.00746,1,-0.00746
0.91,-0.010111263908872905,-0.007890000000000001,-0.007890000000000001,1,-0.007890000000000001
0.915,-0.0103312639088729,-0.00811,-0.00811,1,-0.00811
0.92,-0.010641263908872902,-0.00842,-0.00842,1,-0.00842
0.925,-0.010991263908872902,-0.00877,-0.00877,1,-0.00877
0.93,-0.0113012639088729,-0.00908,-0.00908,1,-0.00908
0.935,-0.011711263908872902,-0.00949,-0.00949,1,-0.00949
0.94,-0.011741263908872902,-0.00952,-0.00952,1,-0.00952
0.945,-0.011531263908872902,-0.00931,-0.009309999999999999,1,-0.00931
0.95,-0.0114812639088729,-0.00926,-0.00926,1,-0.00926
0.955,-0.0113412639088729,-0.00912,-0.00912,1,-0.00912
0.96,-0.011091263908872905,-0.008870000000000001,-0.008870000000000001,1,-0.008870000000000001
0.965,-0.010961263908872905,-0.008740000000000001,-0.008740000000000001,1,-0.008740000000000001
0.97,-0.010821263908872902,-0.0086,-0.0086,1,-0.0086
0.975,-0.010811263908872902,-0.00859,-0.00859,1,-0.00859
0.98,-0.010851263908872902,-0.00863,-0.00863,1,-0.00863
0.985,-0.011031263908872902,-0.00881,-0.00881,1,-0.00881
0.99,-0.011011263908872904,-0.008790000000000001,-0.008790000000000001,1,-0.008790000000000001
0.995,-0.0110012639088729,-0.00878,-0.00878,1,-0.00878
1.0,-0.010951263908872902,-0.00873,-0.00873,1,-0.00873
1.005,-0.0107412639088729,-0.00852,-0.00852,1,-0.00852
1.01,-0.0106812639088729,-0.008459999999999999,-0.008459999999999999,1,-0.008459999999999999
1.015,-0.010391263908872902,-0.00817,-0.00817,1,-0.00817
1.02,-0.010111263908872905,-0.007890000000000001,-0.007890000000000001,1,-0.007890000000000001
1.025,-0.0096812639088729,-0.00746,-0.00746,1,-0.00746
1.03,-0.009461263908872905,-0.007240000000000002,-0.007240000000000002,1,-0.007240000000000002
1.035,-0.009091263908872904,-0.00687,-0.00687,1,-0.00687
1.04,-0.008591263908872902,-0.006370000000000001,-0.006370000000000001,1,-0.006370000000000001
1.045,-0.008131263908872902,-0.00591,-0.00591,1,-0.00591
1.05,-0.007641263908872903,-0.00542,-0.00542,1,-0.00542
1.055,-0.0071412639088729015,-0.00492,-0.00492,1,-0.00492
1.06,-0.0071212639088729015,-0.0049,-0.0049,1,-0.0049
1.065,-0.007211263908872901,-0.00499,-0.00499,1,-0.00499
1.07,-0.007081263908872901,-0.00486,-0.00486,1,-0.00486
1.075,-0.0071412639088729015,-0.00492,-0.00492,1,-0.00492
1.08,-0.007411263908872902,-0.00519,-0.00519,1,-0.00519
1.085,-0.007721263908872901,-0.0055,-0.0055,1,-0.0055
1.09,-0.007511263908872903,-0.00529,-0.0052899999999999996,1,-0.00529
1.095,-0.007331263908872902,-0.00511,-0.00511,1,-0.00511
1.1,-0.007341263908872903,-0.00512,-0.00512,1,-0.00512
1.105,-0.007081263908872901,-0.00486,-0.00486,1,-0.00486
1.11,-0.006491263908872903,-0.00427,-0.00427,1,-0.00427
1.115,-0.005811263908872902,-0.00359,-0.00359,1,-0.00359
1.12,-0.005581263908872903,-0.00336,-0.00336,1,-0.00336
1.125,-0.005611263908872902,-0.00339,-0.00339,1,-0.00339
1.13,-0.005411263908872903,-0.00319,-0.0031899999999999997,1,-0.00319
1.135,-0.005331263908872902,-0.0031100000000000004,-0.0031100000000000004,1,-0.0031100000000000004
1.14,-0.0052012639088729025,-0.00298,-0.00298,1,-0.00298
1.145,-0.004971263908872902,-0.00275,-0.00275,1,-0.00275
1.15,-0.005161263908872902,-0.00294,-0.00294,1,-0.00294
1.155,-0.005291263908872902,-0.00307,-0.00307,1,-0.00307
1.16,-0.005771263908872903,-0.00355,-0.00355,1,-0.00355
1.165,-0.006491263908872903,-0.00427,-0.00427,1,-0.00427
1.17,-0.006681263908872902,-0.00446,-0.00446,1,-0.00446
1.175,-0.006591263908872902,-0.004370000000000001,-0.004370000000000001,1,-0.004370000000000001
1.18,-0.006941263908872903,-0.00472,-0.00472,1,-0.00472
1.185,-0.007231263908872901,-0.0050100000000000006,-0.0050100000000000006,1,-0.0050100000000000006
1.19,-0.0075612639088729035,-0.00534,-0.00534,1,-0.00534
1.195,-0.007371263908872902,-0.00515,-0.00515,1,-0.00515
1.2,-0.007281263908872902,-0.00506,-0.00506,1,-0.00506
1.205,-0.007371263908872902,-0.00515,-0.00515,1,-0.00515
1.21,-0.007471263908872903,-0.00525,-0.00525,1,-0.00525
1.215,-0.006751263908872901,-0.004529999999999999,-0.004529999999999999,1,-0.004529999999999999
1.22,-0.006281263908872903,-0.00406,-0.00406,1,-0.00406
1.225,-0.0063612639088729,-0.00414,-0.00414,1,-0.00414
1.23,-0.006311263908872902,-0.00409,-0.00409,1,-0.00409
