Time,normalized,interpolated,MGCplus_5,result,ModifiedMGCplus_5
0.0,0.030411323501199038,-0.00475,-0.00387,-1,
0.005,0.030411323501199038,-0.00475,-0.004229999999999999,-1,
0.01,0.030411323501199038,-0.00475,-0.00458,-1,
0.015,0.030411323501199038,-0.00475,-0.00455,-1,
0.02,0.030411323501199038,-0.00475,-0.00468,-1,
0.025,0.030411323501199038,-0.00475,-0.00475,1,-0.00475
0.03,0.030841323501199037,-0.00432,-0.00432,1,-0.00432
0.035,0.03116132350119904,-0.004,-0.004,1,-0.004
0.04,0.031141323501199043,-0.00402,-0.00402,1,-0.00402
0.045,0.03099132350119904,-0.00417,-0.00417,1,-0.00417
0.05,0.030691323501199037,-0.00447,-0.00447,1,-0.00447
0.055,0.03089132350119904,-0.00427,-0.00427,1,-0.00427
0.06,0.03099132350119904,-0.00417,-0.00417,1,-0.00417
0.065,0.031111323501199044,-0.00405,-0.00405,1,-0.00405
0.07,0.031041323501199043,-0.00412,-0.00412,1,-0.00412
0.075,0.031021323501199044,-0.00414,-0.00414,1,-0.00414
0.08,0.031021323501199044,-0.00414,-0.00414,1,-0.00414
0.085,0.031171323501199038,-0.00399,-0.00399,1,-0.00399
0.09,0.03128132350119904,-0.00388,-0.0038799999999999998,1,-0.00388
0.095,0.031431323501199045,-0.00373,-0.00373,1,-0.00373
0.1,0.031521323501199044,-0.00364,-0.00364,1,-0.00364
0.105,0.031691323501199034,-0.0034700000000000004,-0.0034700000000000004,1,-0.0034700000000000004
0.11,0.031761323501199035,-0.0034,-0.0034,1,-0.0034
0.115,0.031861323501199044,-0.0033,-0.0033,1,-0.0033
0.12,0.031921323501199035,-0.00324,-0.00324,1,-0.00324
0.125,0.032061323501199036,-0.0031,-0.0031,1,-0.0031
0.13,0.03214132350119904,-0.00302,-0.00302,1,-0.00302
0.135,0.03230132350119904,-0.00286,-0.00286,1,-0.00286
0.14,0.032261323501199035,-0.0029,-0.0029,1,-0.0029
0.145,0.032331323501199036,-0.00283,-0.00283,1,-0.00283
0.15,0.032511323501199035,-0.00265,-0.00265,1,-0.00265
0.155,0.032421323501199036,-0.00274,-0.00274,1,-0.00274
0.16,0.032101323501199035,-0.00306,-0.0030600000000000002,1,-0.00306
0.165,0.031701323501199044,-0.00346,-0.00346,1,-0.00346
0.17,0.031521323501199044,-0.00364,-0.00364,1,-0.00364
0.175,0.03155132350119904,-0.00361,-0.00361,1,-0.00361
0.18,0.03132132350119904,-0.00384,-0.0038399999999999997,1,-0.00384
0.185,0.031181323501199038,-0.00398,-0.00398,1,-0.00398
0.19,0.031211323501199036,-0.00395,-0.00395,1,-0.00395
0.195,0.03115132350119904,-0.0040100000000000005,-0.0040100000000000005,1,-0.0040100000000000005
0.2,0.031101323501199037,-0.00406,-0.00406,1,-0.00406
0.205,0.030791323501199043,-0.004370000000000001,-0.004370000000000001,1,-0.004370000000000001
0.21,0.030291323501199043,-0.00487,-0.00487,1,-0.00487
0.215,0.029771323501199043,-0.00539,-0.00539,1,-0.00539
0.22,0.029521323501199043,-0.00564,-0.00564,1,-0.00564
0.225,0.029311323501199037,-0.00585,-0.00585,1,-0.00585
0.23,0.029131323501199038,-0.00603,-0.00603,1,-0.00603
0.235,0.029171323501199043,-0.00599,-0.00599,1,-0.00599
0.24,0.029131323501199038,-0.00603,-0.00603,1,-0.00603
0.245,0.029391323501199038,-0.00577,-0.00577,1,-0.00577
0.25,0.029661323501199044,-0.0055,-0.0055,1,-0.0055
0.255,0.029671323501199037,-0.00549,-0.00549,1,-0.00549
0.26,0.02979132350119904,-0.005370000000000001,-0.005370000000000001,1,-0.005370000000000001
