Time,normalized,interpolated,MGCplus_3,result,ModifiedMGCplus_3
0.415,0.036644397721822534,-0.01017,-0.01017,1,-0.01017
0.42,0.03672439772182254,-0.01009,-0.01009,1,-0.01009
0.425,0.036894397721822535,-0.00992,-0.00992,1,-0.00992
0.43,0.03706439772182254,-0.00975,-0.00975,1,-0.00975
0.435,0.03722439772182254,-0.00959,-0.009590000000000001,1,-0.00959
0.44,0.037844397721822534,-0.00897,-0.00897,1,-0.00897
0.445,0.037964397721822536,-0.00885,-0.00885,1,-0.00885
0.45,0.037534397721822536,-0.00928,-0.00928,1,-0.00928
0.455,0.037714397721822536,-0.0091,-0.0091,1,-0.0091
0.46,0.037874397721822536,-0.00894,-0.00894,1,-0.00894
0.465,0.03801439772182254,-0.0088,-0.0088,1,-0.0088
0.47,0.03812439772182254,-0.00869,-0.00869,1,-0.00869
0.475,0.038104397721822544,-0.008709999999999999,-0.008709999999999999,1,-0.008709999999999999
0.48,0.038414397721822535,-0.0084,-0.0084,1,-0.0084
0.485,0.03849439772182254,-0.008320000000000001,-0.008320000000000001,1,-0.008320000000000001
0.49,0.03870439772182254,-0.00811,-0.00811,1,-0.00811
0.495,0.038824397721822536,-0.00799,-0.00799,1,-0.00799
0.5,0.038964397721822544,-0.00785,-0.00785,1,-0.00785
0.505,0.038964397721822544,-0.00785,-0.00785,1,-0.00785
0.51,0.039114397721822534,-0.0077,-0.0077,1,-0.0077
0.515,0.03921439772182254,-0.0076,-0.0076,1,-0.0076
0.52,0.038984397721822536,-0.00783,-0.00783,1,-0.00783
0.525,0.03897439772182254,-0.00784,-0.00784,1,-0.00784
0.53,0.03912439772182254,-0.0076900000000000015,-0.0076900000000000015,1,-0.0076900000000000015
0.535,0.039294397721822534,-0.0075200000000000015,-0.0075200000000000015,1,-0.0075200000000000015
0.54,0.03980439772182254,-0.00701,-0.00701,1,-0.00701
0.545,0.039974397721822534,-0.006840000000000001,-0.006840000000000001,1,-0.006840000000000001
